DrugBank_id,drug_smile
DB05521,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1
DB00398,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
DB09135,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCCO)c(I)c(C(=O)NCC(O)CO)c1I
DB08798,Cc1nc(NS(=O)(=O)c2ccc(N)cc2)oc1C
DB11609,CCC(=O)C(CCN(C)C)(c1ccccc1)c1ccccc1
DB00875,OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
DB00979,CN(C)CCOC(=O)C(c1ccccc1)C1(O)CCCC1
DB04896,CCN(CC)C(=O)[C@]1(c2ccccc2)C[C@@H]1CN
DB08918,CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN
DB01409,C[N+]1(C)[C@H]2C[C@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@@H]1[C@H]1O[C@@H]21
DB11570,CCCCC(CC)COC(=O)c1ccc(N(C)C)cc1
